Nombre,Edad,Altura,Posicion,Equipo,Liga,ELO,Partidos_jugados,Partidos_titular,Goles,Asistencias,Tarjetas_amarillas,Valor_Mercado,Goles_por_partido,Asistencias_por_partido,Participacion_goles,Participacion_por_partido,Posición_Club,Aporte_Goles,Aporte_Puntos,RC,IDR,Impacto_Total
D. Mosquera,25.0,183.0,Delanteros,LOS CABOS,Liga Premier Serie A Grupo A,40.0,12,11,12.0,0.0,3.0,54000.0,1.0,0.0,12.0,1.0,4,40.0,14.14,0.73,1.08,0.686
J. Payares,20.0,177.0,Centrocampistas,CIMARRONES DE SONORA,Liga Premier Serie A Grupo A,40.0,14,12,7.0,0.0,2.0,188000.0,0.5,0.0,7.0,0.5,1,24.14,7.45,0.5,1.43,0.402
Giovanni Soto,24.0,174.0,Centrocampistas,REAL APODACA,Liga Premier Serie A Grupo A,44.0,14,13,7.0,0.0,0.0,155000.0,0.5,0.0,7.0,0.5,2,35.0,7.7,0.45,0.43,0.392
Erick Solórzano,24.0,182.0,Delanteros,CIMARRONES DE SONORA,Liga Premier Serie A Grupo A,45.0,12,2,5.0,0.0,1.0,242000.0,0.42,0.0,5.0,0.42,1,17.24,5.32,0.42,1.67,0.344
A. Jacobo,23.0,183.0,Delanteros,TECOS,Liga Premier Serie A Grupo A,37.0,11,11,7.0,0.0,3.0,73000.0,0.64,0.0,7.0,0.64,6,35.0,10.5,0.35,0.27,0.456
H. López,18.0,174.0,Delanteros,CIMARRONES DE SONORA,Liga Premier Serie A Grupo A,26.0,6,0,2.0,0.0,0.0,7000.0,0.33,0.0,2.0,0.33,1,6.9,2.13,0.33,3.33,0.27
Yael Martínez,20.0,169.0,Delanteros,TIGRES DE ÁLICA,Liga Premier Serie A Grupo A,31.0,2,2,1.0,0.0,0.0,1000.0,0.5,0.0,1.0,0.5,5,4.55,1.38,0.32,2.0,0.333
Jonathan Parra,23.0,180.0,Delanteros,DURANGO,Liga Premier Serie A Grupo A,39.0,16,14,6.0,0.0,1.0,129000.0,0.38,0.0,6.0,0.38,3,31.58,6.83,0.31,0.56,0.334
K. Loera,26.0,177.0,Delanteros,LOS CABOS,Liga Premier Serie A Grupo A,44.0,14,12,6.0,0.0,2.0,100000.0,0.43,0.0,6.0,0.43,4,20.0,7.07,0.31,0.93,0.355
J. Talavera,22.0,170.0,Delanteros,CIMARRONES DE SONORA,Liga Premier Serie A Grupo A,40.0,16,15,5.0,0.0,3.0,186000.0,0.31,0.0,5.0,0.31,1,17.24,5.32,0.31,1.25,0.299
L. Camacho,26.0,175.0,Centrocampistas,REAL APODACA,Liga Premier Serie A Grupo A,49.0,14,13,4.0,0.0,4.0,150000.0,0.29,0.0,4.0,0.29,2,20.0,4.4,0.26,0.43,0.266
Andrey Marcos,26.0,172.0,Centrocampistas,REAL APODACA,Liga Premier Serie A Grupo A,58.0,14,14,4.0,0.0,1.0,496000.0,0.29,0.0,4.0,0.29,2,20.0,4.4,0.26,0.43,0.266
R. Maldonado,18.0,170.0,Delanteros,TIGRES DE ÁLICA,Liga Premier Serie A Grupo A,26.0,5,2,2.0,0.0,0.0,2000.0,0.4,0.0,2.0,0.4,5,9.09,2.75,0.25,0.8,0.28
J. Ocón,25.0,185.0,Defensas,DURANGO,Liga Premier Serie A Grupo A,58.0,13,13,4.0,0.0,4.0,783000.0,0.31,0.0,4.0,0.31,3,21.05,4.55,0.25,0.69,0.274
Jesús Reyes,25.0,171.0,Centrocampistas,REAL APODACA,Liga Premier Serie A Grupo A,42.0,15,15,4.0,0.0,0.0,41000.0,0.27,0.0,4.0,0.27,2,20.0,4.4,0.25,0.4,0.26
B. Mendoza,20.0,177.0,Defensas,LEONES NEGROS II,Liga Premier Serie A Grupo A,30.0,4,3,2.0,0.0,0.0,17000.0,0.5,0.0,2.0,0.5,7,9.09,3.0,0.23,0.5,0.33
José Reyes,24.0,175.0,Delanteros,DURANGO,Liga Premier Serie A Grupo A,50.0,15,13,4.0,0.0,2.0,370000.0,0.27,0.0,4.0,0.27,3,21.05,4.55,0.22,0.6,0.262
P. Molina,24.0,179.0,Centrocampistas,CIMARRONES DE SONORA,Liga Premier Serie A Grupo A,46.0,14,14,3.0,0.0,2.0,318000.0,0.21,0.0,3.0,0.21,1,10.34,3.19,0.21,1.43,0.228
Manuel Rivera,25.0,170.0,Centrocampistas,CIMARRONES DE SONORA,Liga Premier Serie A Grupo A,38.0,15,15,3.0,0.0,1.0,71000.0,0.2,0.0,3.0,0.2,1,10.34,3.19,0.2,1.33,0.228
J. Casillas,25.0,168.0,Centrocampistas,TECOS,Liga Premier Serie A Grupo A,53.0,14,12,5.0,0.0,2.0,361000.0,0.36,0.0,5.0,0.36,6,25.0,7.5,0.2,0.21,0.306
F. Rabago,24.0,176.0,Defensas,LEONES NEGROS II,Liga Premier Serie A Grupo A,48.0,5,5,2.0,0.0,1.0,318000.0,0.4,0.0,2.0,0.4,7,9.09,3.0,0.18,0.4,0.275
Favio Vargas,22.0,174.0,Centrocampistas,UA ZACATECAS,Liga Premier Serie A Grupo A,26.0,2,0,1.0,0.0,0.0,2000.0,0.5,0.0,1.0,0.5,8,4.55,1.5,0.18,-3.0,0.281
C. Sanchez,22.0,172.0,Delanteros,TECOS,Liga Premier Serie A Grupo A,39.0,6,4,2.0,0.0,0.0,55000.0,0.33,0.0,2.0,0.33,6,10.0,3.0,0.18,0.5,0.241
Carlos Aguilera,22.0,179.0,Defensas,UA ZACATECAS,Liga Premier Serie A Grupo A,26.0,4,2,2.0,0.0,0.0,6000.0,0.5,0.0,2.0,0.5,8,9.09,3.0,0.18,-1.5,0.309
